Comuna,Region,EspeciesPT,GrupoPT,GRUPO ESPECIE AGRUPADO,toponimio,TipoPorcion,superficieTotal,Tipo Titulares,Macrozona,Tipo Toponimio
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLIN RIBERA NORTE, PARCELA N6",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
CALBUCO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO, OSTION DE CHILOE, OSTION DEL NORTE, OSTION DEL SUR, OSTION PATAGONICO, OSTRA CHILENA, OSTRA DEL PACIFICO O JAPONESA","MITILIDOS, OSTREIDOS, PECTINIDOS",MOLUSCOS,"(1): ESTERO RULO, AL ESTE DE PUNTA METRENCUE",(1): AGUA Y FONDO,1.22,Empresa,Sur,Estero
PUQUELDON,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL YAL, AL ESTE DE PUNTA QUECHOMO, ISLA LEMUY",(1): AGUA Y FONDO,5.75,Empresa,Sur,Canal
QUINCHAO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): ESTE DE PUNTA COÑUE, ISLA LINLIN",(1): AGUA Y FONDO,12.0,Empresa,Sur,Punta
AISEN,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): CANAL DARWIN, AL SUROESTE DE ISLA PALUMBO",(1): AGUA Y FONDO,9.0,Empresa,Austral,Canal
QUEMCHI,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL CAUCAHUÉ, AL NORTE DE PUNTA QUECHUCO",(1): AGUA Y FONDO,19.85,Empresa,Sur,Canal
QUEMCHI,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL CAUCAHUÉ, AL ESTE DE PUNTA CHOHEN",(1): AGUA Y FONDO,39.54,Empresa,Sur,Canal
QUEMCHI,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL CAUCAHUÉ, SECTOR CHOHÉN",(1): AGUA Y FONDO,38.78,Empresa,Sur,Canal
QUINCHAO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): ISLA LINLIN, AL OESTE DE PUNTA COÑUÉ",(1): AGUA Y FONDO,28.47,Persona natural,Sur,Isla
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,(1): NORTE DE ISLA ROWLETT,(1): AGUA Y FONDO,18.0,Empresa,Austral,Isla
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN RIBERA NORTE, PARCELA C39",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN RIBERA NORTE, AL ESTE DE MORRO CHANHUÉ",(1): AGUA Y FONDO,18.51,Sindicato,Sur,Río
